t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 -7.57478e-14 -8.8861e-14 -9.7703e-14 -1.02343e-13 -1.81615e-13 -8.38422e-14 -7.45057e-14 -6.5271e-14 -1.9115e-13 -1.95806e-13 -1.07237e-13 1.49185e-13 9.79063e-14 9.3253e-14 -1.07218e-13 6.05525e-14 -2.18922e-13 -3.30417e-13 -3.81837e-13 -5.59114e-14 0.988256 0.0346124 0.991509 0.989528 0.0748319 0.0453209 0.99062 0.0338115 0.991225 0.990847 0.0452477 0.0567821 0.992457 0.051476 0.990583 0.986209 0.0406759 0.0644275 0.991399 0.0733042 0.983675 0.986516 0.073084 0.0413532 0.989226 0.0449122 0.986181 0.988886 0.0694409 0.0683793 0.983253 0.0786503 0.990862 0.991605 0.0337513 0.0454467 0.00327302 0.00194762 0.00320483 0.00190704 0.00313664 0.00186647 0.00306846 0.00182589 0.00300027 0.00178532 0.00293208 0.00174474 0.0605284 0.0607251 0.0590873 0.059221 0.0576461 0.0577197 0.0563395 0.0563732 0.0548949 0.0549169 0.0534503 0.0534612 0.0521011 0.0520033 0.0506539 0.0504465 0.0492066 0.0488961 0.0477074 0.0473356 0.0462617 0.0459683 0.044816 0.0445967 0.0432766 0.0431422 0.041834 0.0417614 0.0403915 0.0403766 0.0387123 0.0390138 0.0372785 0.0375827 0.0358447 0.0361505
0.05 0.39639 0.396799 -0.0823042 -0.0798793 0.0335295 0.932002 0.930539 1.25238 1.22656 1.22811 1.19191 1.07283 1.07264 0.993171 0.820157 0.815303 0.721285 0.519994 0.519742 0.416289 0.965599 0.0383215 0.973752 0.969471 0.0756989 0.0482262 0.972344 0.037524 0.97395 0.973849 0.0479056 0.0582485 0.977031 0.0543373 0.972427 0.963372 0.0445502 0.0669595 0.973763 0.0740016 0.956222 0.962583 0.0758656 0.0460332 0.968093 0.0501322 0.961574 0.96691 0.0712996 0.0698703 0.955746 0.0780551 0.972669 0.974602 0.037979 0.0486684 0.0209228 0.0136083 0.0204869 0.0133248 0.020051 0.0130412 0.0196151 0.0127577 0.0191792 0.0124742 0.0187433 0.0121907 0.245062 0.246491 0.239227 0.240235 0.233392 0.233999 0.228591 0.228847 0.22273 0.222944 0.216868 0.217042 0.211705 0.211001 0.205825 0.204421 0.199944 0.197883 0.193634 0.191099 0.187767 0.185761 0.181899 0.180395 0.175332 0.174455 0.169488 0.168997 0.163643 0.163514 0.156296 0.158311 0.150507 0.152552 0.144719 0.146785
0.09 1.34856 1.35088 -0.141426 -0.146935 0.245801 3.08038 3.09046 4.10213 4.05354 4.06521 3.96546 3.59566 3.59216 3.33146 2.77096 2.74298 2.43257 1.7601 1.75884 1.40994 0.913324 0.0421154 0.929702 0.923981 0.076629 0.0510999 0.937389 0.0412779 0.940882 0.944477 0.0506135 0.0598757 0.948751 0.0571716 0.940933 0.927048 0.0484733 0.0696735 0.940926 0.0749404 0.91269 0.921548 0.0788056 0.0507764 0.928003 0.0551007 0.917645 0.92421 0.0734235 0.0716115 0.905426 0.0782306 0.934166 0.937137 0.0421074 0.0517139 0.0318296 0.0219465 0.0311665 0.0214893 0.0305034 0.0210321 0.0298403 0.0205749 0.0291772 0.0201176 0.0285141 0.0196604 0.357509 0.361262 0.348997 0.351843 0.340485 0.342463 0.335882 0.336589 0.32727 0.328115 0.318657 0.319632 0.312063 0.310377 0.303395 0.300197 0.294727 0.290106 0.284766 0.278988 0.276137 0.271498 0.267507 0.263948 0.256904 0.254953 0.24834 0.247157 0.239777 0.239312 0.227686 0.232368 0.219253 0.224007 0.21082 0.215628
0.13 2.39078 2.39723 -0.119751 -0.164822 0.517502 5.35339 5.41025 7.17304 7.16583 7.20295 7.06188 6.42123 6.40552 5.92707 4.93034 4.85163 4.29322 3.08691 3.08241 2.46004 0.822786 0.0459231 0.845443 0.847357 0.0774162 0.053757 0.893159 0.0450562 0.900174 0.914992 0.0532975 0.0615007 0.918722 0.0599543 0.910148 0.894377 0.0523925 0.0724905 0.904907 0.0760196 0.873253 0.878973 0.0818068 0.0555288 0.879916 0.0597178 0.867624 0.869658 0.0756868 0.0735163 0.841916 0.0789048 0.876726 0.877235 0.0460311 0.054515 0.0362407 0.0262853 0.0354857 0.0257377 0.0347307 0.02519 0.0339757 0.0246424 0.0332206 0.0240948 0.0324656 0.0235472 0.414924 0.421809 0.405045 0.411051 0.395166 0.400328 0.398044 0.399611 0.387838 0.390454 0.377632 0.38124 0.372366 0.369711 0.362022 0.357066 0.351679 0.344557 0.338538 0.329587 0.32828 0.320819 0.318021 0.311975 0.30338 0.300322 0.293268 0.29107 0.283155 0.281766 0.26635 0.273959 0.256486 0.264087 0.246621 0.254194
0.17 3.20727 3.21856 -0.0411616 -0.168674 0.710079 7.0432 7.18372 9.5953 9.79798 9.88981 9.77964 8.92318 8.87878 8.18799 6.7988 6.64223 5.85035 4.15737 4.14653 3.28506 0.713158 0.0496178 0.731394 0.755842 0.077983 0.0559847 0.853378 0.0488966 0.866495 0.898847 0.055896 0.0629572 0.901678 0.0627641 0.895768 0.881156 0.0562615 0.0753141 0.883459 0.0772989 0.855973 0.85335 0.0847384 0.0602489 0.843522 0.0639396 0.830869 0.822371 0.0780109 0.0755962 0.785133 0.0797168 0.815592 0.807849 0.0497663 0.057184 0.0371036 0.0281806 0.0363306 0.0275935 0.0355576 0.0270064 0.0347846 0.0264193 0.0340116 0.0258322 0.0332386 0.0252451 0.430361 0.439225 0.420114 0.429926 0.409867 0.42057 0.430591 0.433735 0.41955 0.425812 0.40851 0.41772 0.407923 0.404913 0.396592 0.390773 0.385261 0.376798 0.369287 0.358566 0.358096 0.348541 0.346906 0.338463 0.327615 0.323714 0.316694 0.31309 0.305774 0.302454 0.283537 0.292955 0.273036 0.28199 0.262535 0.271033
0.21 3.66404 3.67531 0.0620873 -0.178438 0.759353 7.86562 8.08907 10.991 11.6667 11.8673 11.8976 10.9216 10.83 9.95673 8.25692 8.00192 7.00423 4.90124 4.88065 3.82916 0.616769 0.0530598 0.62135 0.673953 0.0784561 0.0577208 0.822961 0.0528605 0.844382 0.895908 0.0583722 0.0641597 0.899776 0.0657132 0.898504 0.886815 0.0600685 0.0781052 0.881296 0.0788686 0.860402 0.848207 0.087578 0.0649499 0.827231 0.0677887 0.813998 0.792479 0.0804142 0.0779351 0.746111 0.0804044 0.765549 0.745927 0.0534165 0.0599268 0.0361323 0.0286168 0.0353796 0.0280206 0.0346268 0.0274244 0.0338741 0.0268283 0.0331213 0.0262321 0.0323685 0.0256359 0.418827 0.426665 0.408855 0.421698 0.398883 0.416479 0.445382 0.451056 0.433962 0.445874 0.422542 0.440356 0.430031 0.427526 0.418086 0.412629 0.406141 0.397905 0.388045 0.377176 0.376286 0.36558 0.364527 0.353994 0.34002 0.335507 0.328686 0.323195 0.317352 0.310961 0.288668 0.298031 0.277977 0.28591 0.267285 0.273874
0.25 3.7808 3.78016 0.158954 -0.19543 0.677367 7.90497 8.15571 11.3921 12.7846 13.1705 13.4521 12.46 12.3103 11.2953 9.37559 9.00706 7.83071 5.38988 5.35355 4.15241 0.547309 0.0561803 0.536818 0.611672 0.0789881 0.0590862 0.798022 0.05698 0.828321 0.898486 0.0607082 0.0651025 0.906269 0.0688767 0.910271 0.902499 0.0638216 0.080865 0.892225 0.0807682 0.877109 0.857038 0.0903943 0.0696724 0.827652 0.0713239 0.812833 0.778674 0.0829655 0.0806131 0.724222 0.0809085 0.731059 0.699253 0.0570764 0.0628876 0.0343053 0.0282118 0.0335906 0.0276241 0.0328759 0.0270363 0.0321613 0.0264486 0.0314466 0.0258608 0.0307319 0.0252731 0.394653 0.398642 0.385256 0.39954 0.37586 0.399932 0.449923 0.458983 0.438387 0.457483 0.42685 0.455443 0.445294 0.444044 0.432924 0.428921 0.420555 0.413958 0.401519 0.391576 0.389352 0.378193 0.377185 0.364906 0.347431 0.342331 0.33585 0.328004 0.324269 0.313878 0.288316 0.295971 0.277638 0.282493 0.266959 0.269208
0.29 3.66368 3.63414 0.229771 -0.212297 0.51894 7.44698 7.63273 11.0694 13.2918 13.9435 14.5582 13.6395 13.4356 12.3218 10.2681 9.77426 8.44336 5.72758 5.6639 4.33983 0.50132 0.0589856 0.478441 0.566288 0.0796458 0.0602541 0.773596 0.0612428 0.811418 0.900382 0.0629006 0.0658053 0.914564 0.0722837 0.923968 0.92057 0.0675244 0.0835965 0.908602 0.082996 0.897788 0.872587 0.0932644 0.0744422 0.838321 0.0746133 0.821082 0.775912 0.0857271 0.0836707 0.714777 0.0812929 0.709852 0.667213 0.0608008 0.0661221 0.0321679 0.0273509 0.0314977 0.0267811 0.0308276 0.0262113 0.0301574 0.0256414 0.0294872 0.0250716 0.0288171 0.0245018 0.367526 0.366159 0.358775 0.372903 0.350025 0.378893 0.448144 0.461016 0.436653 0.46379 0.425162 0.465797 0.45676 0.457305 0.444073 0.44234 0.431385 0.427505 0.412842 0.404299 0.400331 0.389156 0.387821 0.374194 0.353438 0.347628 0.341657 0.331107 0.329876 0.314925 0.286278 0.291168 0.275675 0.276187 0.265072 0.261528
0.33 3.43087 3.3528 0.268832 -0.221474 0.340081 6.79047 6.81092 10.3376 13.346 14.3291 15.3209 14.544 14.3077 13.1352 11.0219 10.3942 8.93076 5.99774 5.88836 4.45751 0.471266 0.0615133 0.439482 0.532272 0.0804338 0.0613622 0.747472 0.0656004 0.789556 0.898742 0.0649643 0.0662867 0.921129 0.0759326 0.936039 0.936987 0.0711681 0.0862944 0.92536 0.0855339 0.91774 0.890073 0.0962353 0.0792579 0.854077 0.0777237 0.834053 0.779841 0.0887341 0.0871113 0.713594 0.0816458 0.698212 0.646381 0.0646182 0.0696399 0.0300126 0.0262716 0.0293874 0.0257243 0.0287621 0.025177 0.0281369 0.0246297 0.0275116 0.0240823 0.0268863 0.023535 0.34236 0.335352 0.334208 0.346933 0.326057 0.35756 0.441989 0.458441 0.430656 0.465994 0.419323 0.472531 0.465604 0.468311 0.45267 0.453771 0.439737 0.439319 0.423066 0.416028 0.410246 0.399358 0.397425 0.382943 0.359534 0.352852 0.34755 0.334125 0.335565 0.315879 0.284432 0.286033 0.273898 0.269503 0.263363 0.253429
0.37 3.17015 3.02369 0.279871 -0.219113 0.177054 6.14318 5.91226 9.4398 13.0796 14.4305 15.8137 15.2265 14.9969 13.8002 11.6858 10.9203 9.34529 6.25098 6.07205 4.54436 0.45108 0.063807 0.41361 0.505515 0.0813288 0.0624962 0.720138 0.0699745 0.761581 0.892702 0.0669394 0.0665737 0.924671 0.0798073 0.945379 0.950338 0.0747337 0.0889479 0.940059 0.08836 0.934992 0.906981 0.0993234 0.0840989 0.871624 0.0807175 0.848898 0.787597 0.091997 0.0909136 0.717894 0.0820372 0.693072 0.633465 0.068548 0.073438 0.027987 0.0251185 0.0274039 0.0245952 0.0268209 0.0240719 0.0262378 0.0235486 0.0256547 0.0230253 0.0250717 0.022502 0.320961 0.30883 0.313319 0.323832 0.305677 0.337743 0.432664 0.451687 0.42157 0.464543 0.410476 0.476112 0.472239 0.477392 0.459122 0.463442 0.446004 0.449532 0.43234 0.426743 0.419239 0.408898 0.406137 0.391361 0.366109 0.35844 0.353905 0.33763 0.341701 0.317432 0.283571 0.281691 0.273068 0.263644 0.262566 0.246183
