t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 2.1849e-14 1.44288e-15 -4.66557e-15 -2.32784e-14 3.73255e-14 1.16464e-13 1.49093e-13 -5.59576e-14 -4.47584e-13 -3.58984e-13 -2.33119e-13 -1.67845e-13 -3.54338e-13 -3.45014e-13 2.326e-14 9.31934e-14 7.92097e-14 -1.11727e-13 -8.39729e-14 -2.81988e-14 0.988256 0.0346124 0.991509 0.989528 0.0748319 0.0453209 0.99062 0.0338115 0.991225 0.990847 0.0452477 0.0567821 0.992457 0.051476 0.990583 0.986209 0.0406759 0.0644275 0.991399 0.0733042 0.983675 0.986516 0.073084 0.0413532 0.989226 0.0449122 0.986181 0.988886 0.0694409 0.0683793 0.983253 0.0786503 0.990862 0.991605 0.0337513 0.0454467 0.00327302 0.00194762 0.00320483 0.00190704 0.00313664 0.00186647 0.00306846 0.00182589 0.00300027 0.00178532 0.00293208 0.00174474 0.0605284 0.0607251 0.0590873 0.059221 0.0576461 0.0577197 0.0563395 0.0563732 0.0548949 0.0549169 0.0534503 0.0534612 0.0521011 0.0520033 0.0506539 0.0504465 0.0492066 0.0488961 0.0477074 0.0473356 0.0462617 0.0459683 0.044816 0.0445967 0.0432766 0.0431422 0.041834 0.0417614 0.0403915 0.0403766 0.0387123 0.0390138 0.0372785 0.0375827 0.0358447 0.0361505
0.05 0.396613 0.397029 -0.0819624 -0.0794882 0.0341179 0.932391 0.930883 1.25243 1.22653 1.2281 1.19189 1.07282 1.07262 0.99315 0.820145 0.815288 0.721273 0.519986 0.519733 0.41628 0.9656 0.0383215 0.973752 0.969471 0.0756989 0.0482262 0.972344 0.037524 0.97395 0.973849 0.0479056 0.0582485 0.977031 0.0543373 0.972427 0.963372 0.0445502 0.0669595 0.973763 0.0740016 0.956222 0.962583 0.0758656 0.0460332 0.968093 0.0501322 0.961574 0.96691 0.0712996 0.0698703 0.955746 0.0780551 0.972669 0.974602 0.037979 0.0486684 0.0237781 0.0156089 0.0232827 0.0152837 0.0227873 0.0149585 0.022292 0.0146333 0.0217966 0.0143081 0.0213012 0.0139829 0.245062 0.246491 0.239227 0.240236 0.233392 0.233999 0.228591 0.228847 0.22273 0.222944 0.216868 0.217042 0.211705 0.211001 0.205825 0.204421 0.199944 0.197883 0.193634 0.191099 0.187767 0.185761 0.181899 0.180395 0.175332 0.174455 0.169488 0.168997 0.163643 0.163514 0.156296 0.158311 0.150507 0.152552 0.144719 0.146785
0.09 1.3609 1.36359 -0.119718 -0.124714 0.27787 3.09885 3.10868 4.10467 4.05229 4.0649 3.96461 3.59535 3.59116 3.33059 2.77058 2.74241 2.43212 1.75981 1.75856 1.40973 0.91339 0.0421154 0.929758 0.924067 0.0766291 0.0510999 0.937431 0.0412778 0.940922 0.944482 0.0506135 0.0598758 0.948749 0.0571716 0.940932 0.927045 0.0484733 0.0696735 0.940925 0.0749404 0.912686 0.921546 0.0788056 0.0507764 0.928001 0.0551007 0.917643 0.924209 0.0734235 0.0716115 0.905425 0.0782306 0.934165 0.937137 0.0421074 0.0517139 0.0503634 0.0356699 0.0493142 0.0349268 0.048265 0.0341837 0.0472157 0.0334406 0.0461665 0.0326974 0.0451172 0.0319543 0.357515 0.361267 0.349003 0.351849 0.340491 0.342471 0.335886 0.336593 0.327273 0.328116 0.318661 0.319632 0.312063 0.310377 0.303395 0.300197 0.294726 0.290106 0.284766 0.278988 0.276137 0.271498 0.267507 0.263948 0.256904 0.254953 0.24834 0.247157 0.239777 0.239312 0.227686 0.232368 0.219253 0.224007 0.21082 0.215628
0.13 2.42875 2.43614 -0.0534211 -0.0986298 0.615073 5.41048 5.46725 7.18246 7.16259 7.20354 7.06041 6.42091 6.40305 5.92483 4.92974 4.85014 4.29208 3.08632 3.0818 2.4596 0.823417 0.045924 0.846024 0.848163 0.0774176 0.053757 0.893522 0.0450558 0.900511 0.915039 0.053298 0.0615028 0.918713 0.0599543 0.910148 0.894365 0.0523925 0.0724905 0.904903 0.0760195 0.873233 0.878957 0.0818069 0.0555289 0.87991 0.0597178 0.867612 0.869649 0.0756869 0.0735163 0.84191 0.0789048 0.876721 0.877232 0.0460311 0.054515 0.0652943 0.0485071 0.063934 0.0474966 0.0625737 0.046486 0.0612134 0.0454754 0.0598531 0.0444649 0.0584928 0.0434543 0.415008 0.421884 0.405127 0.41114 0.395246 0.40043 0.39809 0.399653 0.387883 0.390478 0.377675 0.381246 0.372364 0.369711 0.362021 0.357066 0.351677 0.344556 0.338538 0.329585 0.328279 0.320817 0.31802 0.311973 0.30338 0.300321 0.293267 0.291069 0.283154 0.281765 0.26635 0.273958 0.256485 0.264086 0.24662 0.254194
0.17 3.26744 3.27988 0.0574616 -0.0699384 0.861867 7.13918 7.27723 9.61564 9.79525 9.8944 9.77953 8.92333 8.87581 8.18508 6.79844 6.64012 5.84874 4.15679 4.14573 3.28453 0.715105 0.0496234 0.733321 0.758398 0.0779898 0.0559845 0.854523 0.0488942 0.86753 0.899007 0.0558991 0.0629684 0.901678 0.0627641 0.895791 0.881141 0.0562614 0.0753142 0.883454 0.0772983 0.85593 0.853311 0.0847389 0.0602492 0.84351 0.0639394 0.830838 0.822346 0.0780111 0.0755962 0.785119 0.0797168 0.815578 0.807839 0.0497662 0.0571839 0.0702024 0.0541731 0.0687399 0.0530445 0.0672773 0.0519159 0.0658148 0.0507873 0.0643522 0.0496587 0.0628897 0.0485301 0.430723 0.439573 0.420467 0.430325 0.410212 0.421017 0.430787 0.433914 0.419741 0.425912 0.408695 0.417746 0.407921 0.404915 0.39659 0.390772 0.385259 0.376795 0.369286 0.358559 0.358095 0.348534 0.346905 0.338457 0.327613 0.32371 0.316692 0.313086 0.305772 0.30245 0.283535 0.292953 0.273034 0.281988 0.262533 0.271032
0.21 3.73834 3.75082 0.17228 -0.0664469 0.939787 7.99288 8.20974 11.0288 11.6706 11.8802 11.9012 10.9226 10.8278 9.95425 8.25677 7.99961 7.00235 4.90083 4.87968 3.82854 0.62012 0.0530789 0.624812 0.678614 0.0784732 0.0577187 0.825223 0.0528532 0.846361 0.896266 0.0583824 0.0641933 0.899842 0.0657131 0.898592 0.88682 0.0600685 0.0781058 0.881297 0.0788672 0.860348 0.848153 0.0875792 0.0649508 0.827216 0.0677881 0.813947 0.792438 0.0804147 0.0779354 0.746091 0.0804044 0.765525 0.74591 0.0534164 0.0599266 0.0696734 0.055605 0.0682218 0.0544466 0.0667703 0.0532882 0.0653188 0.0521297 0.0638672 0.0509713 0.0624157 0.0498128 0.419674 0.427516 0.409682 0.422671 0.39969 0.417565 0.445875 0.451495 0.434442 0.446124 0.42301 0.440425 0.430037 0.427539 0.418091 0.412634 0.406146 0.397901 0.388043 0.377162 0.376285 0.365567 0.364526 0.353983 0.340016 0.335497 0.328682 0.323187 0.317348 0.310954 0.288664 0.298027 0.277973 0.285907 0.267282 0.273871
0.25 3.86329 3.86444 0.267903 -0.0838075 0.865753 8.05443 8.29693 11.4551 12.8035 13.1964 13.4617 12.4625 12.3102 11.2944 9.37526 9.00501 7.82878 5.38961 5.35238 4.15161 0.55161 0.0562231 0.541316 0.618023 0.0790188 0.0590782 0.801518 0.0569645 0.831328 0.899141 0.060732 0.0651739 0.906483 0.068876 0.910471 0.902551 0.0638229 0.0808677 0.892246 0.0807658 0.877066 0.856987 0.0903966 0.0696742 0.827636 0.0713226 0.81277 0.778621 0.0829666 0.0806138 0.7242 0.0809083 0.731024 0.699228 0.0570764 0.0628873 0.0668218 0.0550108 0.0654297 0.0538647 0.0640376 0.0527187 0.0626455 0.0515726 0.0612534 0.0504266 0.0598612 0.0492805 0.396054 0.400083 0.386624 0.401207 0.377194 0.401812 0.450847 0.459789 0.439287 0.457951 0.427727 0.45559 0.445326 0.444081 0.432955 0.428941 0.420585 0.413962 0.401521 0.391559 0.389353 0.378177 0.377186 0.36489 0.347426 0.342316 0.335845 0.327991 0.324264 0.313866 0.288311 0.295964 0.277633 0.282487 0.266954 0.269203
0.29 3.7511 3.72478 0.334025 -0.107397 0.703944 7.60981 7.79101 11.1626 13.333 13.9866 14.5759 13.6449 13.4388 12.3236 10.2672 9.77305 8.44173 5.72736 5.66253 4.3388 0.50613 0.0590598 0.483428 0.573717 0.079693 0.060236 0.778296 0.0612168 0.815518 0.901451 0.0629446 0.0659282 0.915008 0.0722814 0.924314 0.920685 0.0675295 0.0836042 0.908656 0.0829926 0.897776 0.872558 0.093268 0.0744452 0.838303 0.0746112 0.82102 0.775853 0.0857288 0.0836718 0.714754 0.0812923 0.709806 0.667179 0.0608008 0.0661218 0.0636587 0.0539575 0.0623325 0.0528334 0.0610063 0.0517093 0.05968 0.0505851 0.0583538 0.049461 0.0570276 0.0483369 0.369427 0.368127 0.360631 0.375226 0.351835 0.381551 0.44959 0.462272 0.438063 0.464539 0.426535 0.466063 0.456846 0.457382 0.444156 0.442387 0.431466 0.427523 0.41285 0.404284 0.400339 0.389141 0.387828 0.374178 0.353432 0.347609 0.341651 0.331089 0.32987 0.314909 0.286271 0.291158 0.275669 0.276178 0.265066 0.261521
0.33 3.52222 3.44965 0.371616 -0.123391 0.519849 6.95985 6.98464 10.461 13.4146 14.3924 15.3491 14.5542 14.3152 13.1407 11.0202 10.3944 8.9299 5.99745 5.88689 4.45623 0.476351 0.0616221 0.444615 0.540307 0.0805004 0.0613316 0.75325 0.0655653 0.794842 0.900367 0.0650329 0.0664707 0.921877 0.075927 0.936548 0.937172 0.0711809 0.0863116 0.925463 0.0855297 0.917771 0.890082 0.0962405 0.0792624 0.854056 0.077721 0.834007 0.779787 0.0887363 0.0871129 0.713571 0.0816446 0.698157 0.646337 0.0646186 0.0696398 0.0616765 0.0537428 0.0603916 0.0526231 0.0591066 0.0515035 0.0578217 0.0503838 0.0565368 0.0492642 0.0552519 0.0481446 0.34466 0.337717 0.336454 0.349789 0.328248 0.360879 0.443999 0.460219 0.432614 0.467085 0.42123 0.47297 0.465775 0.468444 0.452837 0.453856 0.439899 0.439359 0.423085 0.41602 0.410264 0.399349 0.397443 0.382931 0.359527 0.352832 0.347543 0.334106 0.335559 0.315861 0.284425 0.286019 0.27389 0.269491 0.263356 0.25342
0.37 3.26697 3.12878 0.389496 -0.121949 0.359137 6.31657 6.10197 9.58981 13.1774 14.5162 15.8549 15.2435 15.0095 13.8098 11.6832 10.9226 9.3457 6.25042 6.0707 4.5429 0.456417 0.0639503 0.418774 0.51394 0.0814188 0.0624535 0.726818 0.0699361 0.768148 0.895048 0.0670331 0.0668227 0.925799 0.0797961 0.946065 0.950593 0.0747597 0.0889806 0.940221 0.0883549 0.935069 0.907034 0.0993309 0.0841055 0.871604 0.0807146 0.848882 0.787559 0.0919994 0.0909155 0.717868 0.0820354 0.693012 0.633411 0.0685487 0.0734381 0.0623414 0.0557633 0.0610427 0.0546016 0.0597439 0.0534398 0.0584451 0.0522781 0.0571463 0.0511164 0.0558475 0.0499546 0.323575 0.311467 0.315871 0.327088 0.308166 0.341585 0.435231 0.454051 0.424072 0.466041 0.412912 0.476787 0.472531 0.477591 0.459405 0.463573 0.446279 0.449598 0.432376 0.426748 0.419274 0.4089 0.406171 0.391359 0.366101 0.358422 0.353898 0.337612 0.341694 0.317414 0.283562 0.281674 0.27306 0.26363 0.262558 0.246171
